speaker,start_time,text,confidence
1,22.98,유명하면서도 사람들이 잘 가지 않는 곳. 그곳에 진가를 한 다섯 군데를 보여 드릴까 그렇게 생각하고 골라왔어요.,0.95
1,38.27,사진과 영상으로 먼저 간접 경험을 하고 죽을 때까지 잊지 못하는 여행지 추억을 만들기를 기대하면서 한번 들어보시죠.,0.96
1,53.59,에서 내가 최고로 치는 거는 오름. 아 오름.,0.97
2,56.56,오름.,0.94
1,57.11,오름이에요. 제주를 그렇게 다녀도 오름은 처음 가 본다는 사람이 많아요. 이게 오름이라고 하는 게 올라간다는 뜻이잖아. 우리말 오름.,0.96
3,70.39,성산 일출봉.,0.91
1,71.13,이렇게 보이는 거야.,0.95
4,72.08,와.,0.92
2,72.61,근데 오름마다 너무 귀엽게 생겼어.,0.94
1,73.7,억새가 한군물이 억새 진짜. 그 말이 지금 지나가고 있어. 말도 많아. 야.,0.93
2,78.23,와 무슨 외국 같애.,0.96
4,79.72,음. 그러니까.,0.93
1,80.64,그래요. 외국 같지. 외국 같애.,0.97
1,104.26,이 제주 사람들은,0.98
2,106.17,어 예쁘다.,0.96
1,107.11,오름의 등 오름을 등지고 살고 죽어서는 오름에 산담에 무덤으로 묻히고 여기에서 태우리들이 말을 키우고 그러는데 이게 왜 이렇게 생겼냐 하면은 화산이 제주도가 폭발해서 한라산과 제주도가 생길 때 기생 화산이라고 조그만 게 바글바글 그래.,0.95
1,127.69,저 흰죽 끓이면은 바글바글바글 하는 거죠. 그것들이 전부 굳어 가지고 요런 기생 화산이 속이 빵 뚫러졌죠. 그래서 밑에서 보면은 그냥 아름다운 곡선이지만 위로 올라가면 확 하고 들어가. 들어가죠.,0.96
1,147.54,오름 중에서 가장 아름다운 그 오름은 다랑쉬 오름이라는 곳인데 이게 제주에 화가 강요배가 그린 다랑쉬 오름에 달이 떠오르는 모습을 형상화한 건데 다랑쉬가 달이 떠오른다라는 말에서 나왔다고 그래요. 그래서 한자로 월랑봉이라고 그러거든.,0.97
1,172.16,"다랑쉬 오름을 가면은 이 한 20분, 25분 이렇게 지그재그로 해서 이렇게 올라가서 딱 올라가면은 밑이 빵 하고 뚫려 있어. 그 감동.",0.96
4,186.21,"와, 지금은 또 계절이 다르니까 어떤 모습일지 궁금하기도 해요.",0.95
3,189.8,가보고 싶다.,0.97
2,190.48,"아, 진짜 예쁘다.",0.98
1,191.73,이뻐요.,0.98
2,208.57,어 근데 움푹 파인 게 진짜 사람이 판 것처럼 진짜 예쁘게 잘 파졌어요.,0.96
4,213.57,너무 예쁘게 파졌어요.,0.95
1,215.46,어떤 사람은 펀치볼처럼 생겼대.,0.97
3,217.92,어.,0.94
4,219.13,이게 계절에 따라 또 그날 날씨에 따라 계속 틀려지는 거 같아요.,0.96
1,233.71,그 다음에 옆으로 밭들이 쭉 밭담이 돌멩이로 울타리를 해서 멀리 다른 오름들하고 이렇게 어우러지는 거가 품이 큰 그 비단 치마를 입은 여인이 싹 이렇게 앉아 있는 것 같다고 이렇게 표현한 게 있어요.,0.95
