speaker,start_time,text,confidence
1,0.1,어 파운드리도 좀 괜찮아졌어. 바닥 찍었어. 기존에 레거시도 잘했어. HBM도 이번에 물량들이 얼마나 많이 나갔는지 모르겠지만 적어도 이제는 시작이라는 점을 봤을 때는 더 이상 이제 삼성전자의 악재가 있나? 4분기는 더 좋아질 거고. 이거는 모건스탠리가 얘기를 했죠. 4분기 때부터는 랜드다.,0.96
2,17.91,TSMC는 항상 신경 쓰고 있다는 얘기거든요. 근데 삼성이 이번에 수율을 따라잡고 했다라고 하는 거는 분명히 이 파운드리 역할을 할 수 있는 자리에 올라가고 있다라는 증거고 그리고 엔비디아가 이제 삼성한테 맡기게 되면은 더 긴장해야죠.,0.95
3,35.12,아 저희 이제 2부로 넘어가서 반도체 이야기 해보겠습니다. 요즘 반도체 이야기를 빼놓을 수가 없는 게 두 가지 이유가 있는데요. 물론 뭐 시장에서 잘 가고 있기 때문에 당연히 봐야 하는 섹터이기도 하지만 저희 이 주식임당 꾸준히 시청하신 분들이라면 다 아실 거예요. 저희 과장님이랑 대표님께서 삼성전자와 SK하이닉스를 그렇게 외쳐 주셨거든요. 그리고 실제로 지금 주가가 고공행진을 하고 있습니다.,0.99
3,60.69,그래서 조금 더 귀담아 들어 주셨으면 좋을 것 같고 먼저 최근에 삼성전자 주가 흐름 살펴보겠습니다. 과장님.,0.99
1,67.23,네. 지수도 급등을 했지만 삼성전자도 지금 뭐 10만 전자는 거의 따놓은 것 같다는 생각도 듭니다.,0.98
3,75.37,"네. 아까 제가 보니까 99,900원. 뭐 세일하는 줄 알았어요. 99,900원. 어떻게 보세요? 어디까지 갈까요?",0.99
1,82.56,"뭐 어제 시티 그룹에서 14만 원 넘게 목표가를 봤던 거 같아요. 아까 한 10만 원에 한 200만 주 좀 매물대가 좀 나오기는 했는데 확실히 그동안 이제 삼성전자 작년 4월인가? 그때 8만 8,000원 갔다가 쭉 거의 한 4만 9,000원까지 갔다가 최근에 좀 반등이 나왔는데 그때에 대한 리스크들이 이제 하나, 둘씩 좀 해소되는 구간이 아닌가. 뭐 심지어 반도체 섹터에서도 아 그쪽에서도 적자까지 나오면서 굉장히 좀 빠르게 좀 회복되는 지금 구간이 있었고.",0.98
1,113.2,아마 10월 30일 날 이제 실제로 실적이 나오고 이제 컨퍼런스 콜을 해봐야겠지만은 결국에 이번에 삼성전자 주가 좀 많이 올라왔던 거는 2분기 기준으로 SK 하이닉스가 디램 점유율이 한 39%로 알고 있고 삼성전자가 33%란 말이죠. 그래서 시장에서 얘기하는 게 그러니까 HBM뿐만 아니라 기존의 레거시 쪽에 대한 이게 재고들이 크게 올라오게 되면서 이번에 SK 하이닉스 점유율을 따라 잡았다는 얘기도 시장에서는 보고 있는 것 같아요.,0.97
1,139.3,물론 SK하이닉스 실적 잘 나오긴 하겠지만은 그게 대한 기대감이 있었고 그리고 파운드리 쪽. 파운드리 쪽이 생각보다 이번에 좀 실적이 잘 선방됐던 거 같아요. 갤럭시 플립도 잘 팔렸고 기존에 닌텐도 2도 이제 그 한 2조 정도의 아마 수주 물량이 있었던 거 같은데 그것도 미국에서 굉장히 좀 많이 팔린 걸로 알고 있어 가지고.,0.98
1,157.09,파운드리가 생각보다 이제는 바닥을 좀 찍지 않았을까 라는 측면에서 시장에는 어 파운드리도 좀 괜찮아졌어. 바닥 찍었어. 기존에 레거시도 잘했어. HBM도 이번에 물량들이 얼마나 많이 나갔는지 모르겠지만 적어도 이제는 시작이라는 점을 봤을 때는 더 이상 이제 삼성전자의 악재가 있나 라고 좀 그런 흐름이 좀 시장에서 좀 외국인이 굉장히 강하게 좀 들어오지 않았나 생각하고 있습니다.,0.98
