speaker,start_time,text,confidence
1,0.158,사람들마다 얘기가 다른데 밀란코비치 사이클 얘기를 하진 않았지만 지구 공정 궤도가 조금 타원형에 가까워져야 세차 운동의 효과가 나타나면서 다음 빙기가 올 수 있는데 20률이 굉장히 작은 거예요. 지금 원형에 가깝게 돌고 있거든요.,0.98
2,14.648,예전에는 안 그랬어요?,0.95
1,15.738,빙기나 간빙기 10만 년 주기인데 그 20률 주기가 10만 년 주기거든요. 그래서 예전에 빙기 간빙기로 변화할 때는 20률이 보통 컸을 때 변화가 일어났죠.,0.97
2,25.528,"아, 그러니까 원 모양보다는 타원일 때",0.96
1,27.148,그렇죠. 타원이라고 해서 완전 타원은 아니고 조금 찌그러진 모양인데 그게 상당히 영향을 미치는 거거든요. 그래서 우리가 보통 보면은 북반구의 계절성이 중요하다고 하는데 이거 말씀드릴까 말까요? 시간이,0.98
3,39.568,"이렇게 해놓고 안 얘기 아니, 이래놓고 뭐 얘기 안 할 수가 없잖아요.",0.94
1,44.668,"그 북반구가 중요하다는 얘긴데요. 북반구가 중요한 이유는 거기에 육지가 많기 때문에 중요한데, 북반구의 계절성이 중요하다는 얘기는 여름하고 겨울에 온도 차이가 커지면 그러면 간빙기 조건이 되고요. 여름하고 겨울에 온도 차이가 작아지면 빙기 조건이 되는데, 여름하고 겨울에 온도 차이가 작다는 거는 여름이 선을하고 겨울이 따뜻하다는 얘기죠. 여름에 빙하가 잘 안 녹죠.",0.98
1,64.548,"겨울이 따뜻하면은 얼음 주변에서 바다 같은 데서 증발이 많이 일어나 가지고 빙하가 성장할 수 있는 조건이 되거든요. 그래서 계절성이 작으면 작을수록 얼음이 커집니다. 그게 이제 세차랑 관계 있는 건데 반대로 계절성이 커지면, 즉 여름이 뜨겁고 겨울이 추우면 반대가 되는 거죠. 여름이 빙하가 녹아버리고 겨울에는 증발이 안 일어나니까 얼음이 안 만들어지거든요.",0.97
1,82.748,그래서 계절성이 커지면은 간빙기 조건이고 계절성이 작으면 빙기 조건인데 지금 우리가 살고 있는 이 시기는 빙기 조건이에요. 세차 운동만 놓고 보면은. 빙기가 와야 되는 게 맞는데 20률이 너무 적은 거예요.,0.98
1,94.398,"그 20률이 최대로 확대되는 게 아마 4, 5만 년 후일 거다라고 예측을 하고 있고 4, 5만 년 후에는 빙기가 올 가능성이 상당히 높다라고 보는 겁니다.",0.97
2,101.898,아 그래요. 아니 근데 그 빙하기냐 아니냐 이걸 결정하는 중요한 게 말씀하신 것처럼 여름 겨울 온도차가 워낙 커서 얼음이 잘 안 만들어져서가 중요한 거예요? 아니면 평균 기온 자체가 낮아진 빙하기고 높아진 간빙기고 이렇게 되는 거예요?,0.95
1,116.918,아니 일단은 트리거가 필요한데 얼음이 일단은 만들어지기 시작하거나 녹기 시작하면은 그다음부터는 피드백에 의해서 저절로 굴러가는 거예요.,0.98
4,124.848,얼음이 햇빛을 반사하니까.,0.96
1,126.218,그래서 그 트리거 역할을 하는 게 바로 밀란코비치 사이클이라는,0.97
2,129.418,"아, 그래요.",0.95
1,130.018,그래서 약간만 딱 변화가 일어나면은 그다음부터 저절로 막 굴러가는 거거든요.,0.96
5,134.148,"그 말씀하신 세 차라는 게 중요한 이유가 되게 재밌는 게요. 지금 여름일 때 오히려 태양 지구 사이의 거리가 멀어요. 여름일 때라는 거는 북반구가 이렇게 기울어져 있어서 태양을 많이 받고 있을 때. 네. 그게 사실은 여름이냐 겨울이냐를 결정하는 건 거리보다 태양을 향하는 쪽으로 누워 있느냐, 등지고 있느냐 일조 시간에 따라 달라지는 거라서.",0.97
2,153.958,그 지구의 여름이라는 거예요? 아니면 북반구의 여름이라는 거예요?,0.95
5,156.288,"네, 북반구의 여름. 네. 근데 이제 세차가 반 바퀴 돌아서 그게 바뀌면 그때는 겨울일 때 태양에서 거리도 멀어지는 거죠, 북반구의 경우에는. 이제 그럼 더 연교차가 극심해지니까 말씀하신 메커니즘이 더 잘 돌아가겠죠.",0.97
1,169.108,"홀로세의 시작이 11,700년 전이거든요. 그때가 간빙기 조건이었죠. 그래서 간빙기가 온 거죠.",0.98
2,173.878,그때가 이제 홀로세예요?,0.96
1,175.258,네.,0.99
3,175.928,지금은 이제 둘이세.,0.93
1,177.038,지금 죄송합니다. 네. 홀로세 말기. 하여튼 20률이 작아서 다음 빙기는 조금 더 기다려야 온다.,0.92
4,185.228,제 개인적인 생각은 우리가 아무리 막 이산화 탄소 배출하고 지구 온도를 올리더라도 이 자연의 거대한 뭐 46억 년 역사에서 기후 변화가 지구의 힘으로 많이 바뀌었잖아요. 결국엔 못 이기지 않을까. 그래서 결국엔 빙하기로 가는 게 맞지 않을까.,0.98
2,200.018,"1년, 5년, 10년 요렇게 보면 뭐 인간의 활동에 의해서 더 가긴 하지만 큰 사이클로 보자면 어쩔 수 없이 간다.",0.97
4,206.428,무조건 가는 거는 맞을 것 같아요.,0.96
1,208.248,"4, 5만 년 후면은 인류가 살아남지 못할 것 같은데요.",0.97
2,212.328,"그 4, 5만 년만 버티면 지구 온난화는 해결되겠네",0.94
4,215.058,아니 어떻게 보면 그때를 위해서 지금 화석 연료를 좀 비축해 놔야 되는 거 아닌가요?,0.96
2,219.238,자 엄청 때야 되니까.,0.95
3,220.408,"그러니까 4, 5만 년 정도 후에 빙하기가 올 거라는 거는",0.96
1,223.578,그것도 추정이죠. 근데 추정인데 가능성은 높은 거죠. 가능성이 매우 높은. 20률이 높아지니까 그때는.,0.95
3,228.298,"4, 5만 년 후에도 만약에 남는 학문이 있다면 그건 물리학일까요? 천문학일까요? 지리학일까요?",0.98
4,235.048,물리학이죠.,0.99
1,235.548,물리학은 뭐 시간하고 관계 없고요. 천체가 없어도 물리학은 성립합니다.,0.98
2,241.218,아 그렇습니까.,0.92
1,241.808,지구가 없어도. 그렇죠.,0.93
3,243.228,빙하기 오면 그때 막 기상학이라든지 관심을 많이 받을 것 같긴 한데.,0.97
4,246.608,그때까지 살아 있어야죠.,0.96
1,247.958,하여튼 우리는 서서히 온도가 떨어지는 쪽으로 지금 지구는 가고는 있다.,0.98
2,252.208,현재 상황으로 보면 몇 만 년 몇 십만 년 스케일로 보면 긴 스케일로 보자면.,0.95
1,256.348,지금은 올라가고 있고요. 지금은 굉장히 위험하게 올라가고 있는 거죠.,0.98
4,259.788,너무 빨리 올라가고 있으니까 걱정이죠.,0.97
3,261.848,"4, 5만 년 뒤에 인간의 활동 때문에 혹시 큰일이 생길 수도 있는 거죠?",0.96
1,265.938,"그렇죠. 아이, 위험할 수 있죠. 상당히 위험할 수 있습니다.",0.97
3,268.438,"자, 그러면 오늘은 여기서 인사 드리고요. 다음 시간에 또 재밌는 과학 이야기로 다시 여러분 찾아뵙도록 하겠습니다. 함께해 주신 여러분, 고맙습니다.",0.99
